dataset,split,class_id,images,instances,instances_per_image_mean,equivalent_side_median_px,equivalent_side_p90_px,aspect_ratio_median,nearest_center_median_px,neighbor_probability,p3_area_lt_1,p3_min_dim_lt_1,p4_area_lt_1
ogsod-2.0,train,all,14250,37929,2.6616842105263157,8.813835700842406,23.838123251116137,2.049996646674306,28.692217437144627,0.40931740884283796,0.39674127975955076,0.7488465290411032,0.8232487015212634
ogsod-2.0,train,0,14250,23552,2.6616842105263157,9.327518365771766,19.23281469772068,2.881090737190359,56.91496024686855,0.13438349184782608,0.3156844429347826,0.8566151494565217,0.8471467391304348
ogsod-2.0,train,1,14250,3614,2.6616842105263157,45.70556356246212,98.92135737080045,2.049996646674306,66.22890640465627,0.646098505810736,0.00857775318206973,0.09380188157166575,0.21942446043165467
ogsod-2.0,train,2,14250,10763,2.6616842105263157,6.999938010105056,10.487929755517015,1.14284717802056,8.500091552734375,0.9314317569450896,0.7044504320356778,0.7329740778593329,0.9737062157391062
ogsod-2.0,val,all,2035,5430,2.6683046683046685,8.825741940896638,24.63794196590031,2.03171376418272,30.461743197576272,0.39779005524861877,0.4007366482504604,0.7616942909760589,0.8125230202578269
ogsod-2.0,val,0,2035,3425,2.6683046683046685,9.542232839051804,20.46909807032955,2.833320439620052,57.717139204797675,0.1272992700729927,0.3024817518248175,0.8394160583941606,0.8268613138686132
ogsod-2.0,val,1,2035,465,2.6683046683046685,45.58132697250176,100.2257778648116,2.0062511153685594,66.00200118308068,0.6451612903225806,0.010752688172043012,0.12043010752688173,0.2172043010752688
ogsod-2.0,val,2,2035,1540,2.6683046683046685,6.928278112031607,9.949870498472029,1.1666124407800071,8.499984742087477,0.9246753246753247,0.737012987012987,0.7824675324675324,0.9603896103896103
ogsod-2.0,test,all,4074,10716,2.630338733431517,8.95117123658314,24.829454279821718,2.083307211441299,30.82933442196696,0.39520343411720793,0.38251213139231055,0.7387084733109369,0.8161627472937664
ogsod-2.0,test,0,4074,6725,2.630338733431517,9.47711674203062,20.0796949150919,2.9321330962061256,60.79234793539979,0.12163568773234201,0.30379182156133827,0.8472862453531599,0.8370260223048327
ogsod-2.0,test,1,4074,1014,2.630338733431517,48.373485925764115,100.38217081256725,1.9292518321269072,71.05630694878411,0.636094674556213,0.006903353057199211,0.08678500986193294,0.21203155818540434
ogsod-2.0,test,2,4074,2977,2.630338733431517,6.999999761570016,10.488053564445332,1.14284717802056,8.54399124431941,0.9311387302653679,0.68827678871347,0.7154853879744709,0.9748068525361102
ogsod-1.0,train,all,14664,38966,2.657255864702673,8.831643289893837,23.45198598289574,2.149510570029516,31.720881692665774,0.3878252835805574,0.39028896987116973,0.762947184725145,0.832443668839501
ogsod-1.0,train,0,14664,25533,2.657255864702673,9.298669777372536,19.1570336688343,2.8307430154270414,56.800069727036586,0.13406180237339912,0.31931226256217443,0.860807582344417,0.8501155367563545
ogsod-1.0,train,1,14664,3306,2.657255864702673,55.00893962828093,103.53211584702987,2.218979254412824,71.94491827447342,0.7065940713853599,0.009074410163339383,0.10526315789473684,0.18451300665456746
